ownerId,id,senderId,receiverId,title,content,createdAt,isRead,readAt
choiyowon,msg-015,system,choiyowon,오염 확인 일정 관련,근시일 내의 오염 확인 일정 변동 부탁드립니다.,2026-01-11T03:20:10.512Z,false,
choiyowon,msg-016,haegeum,choiyowon,최씨,최씨 우리 할 말 있지 않나?,2025-10-29T14:00,true,
choiyowon,msg-017,haegeum,choiyowon,업무 협조,우리 팀 일 잘 처리해둬라,2025-12-17T10:00,true,
choiyowon,msg-018,choiyowon,ryujaegwan,FW: 업무 협조,"-----Original Message-----,,,
From: 해금,,,,,,,,
Sent: 2025-12-17,,,,,,,,
Content: 우리 팀 일 잘 처리해둬라,,,,,,,,
,,,,,,,,
재관아 누님이 미쳤나보다",2025-12-17T10:05,true,,,,,,
choiyowon,msg-019,agent-admin-002,choiyowon,자전거 점검 계획,"안녕하세요, 총무팀입니다. 금일 자전거 점검이 예정되어 있으니 지하 1층 보관소에 보관 중인 개인 자전거가 있다면 확인 부탁드립니다.",2026-01-02T09:00:00,
haegeum,msg-020,haegeum,choiyowon,업무 협조,우리 팀 일 잘 처리해둬라,2025-12-17T10:00:00,true,
haegeum,msg-021,haegeum,choiyowon,최씨,최씨 우리 할 말 있지 않나?,2025-10-29T14:00:00,true,
haegeum,msg-030,agent-admin-equip,haegeum,팀 공용 장비 점검 요청,"안녕하십니까, 해금 팀장님. 총무팀 장비관리 담당입니다. 출동구조반3팀 공용 장비에 대한 정기 점검 시기가 도래하여 연락드립니다. 바쁘시겠지만 편하신 시간에 장비 점검 협조 부탁드리겠습니다.",2026-01-09T03:20:10.512Z,
haegeum,msg-031,agent-admin-hr,haegeum,팀원 근태 관리 안내,"해금 팀장님, 금주 팀원 근태 마감 관련 안내드립니다. 전산 상 미처리된 건이 있는지 확인 바랍니다.",2026-01-10T03:20:10.512Z,
haegeum,msg-032,agent-admin-security,haegeum,보안 등급 재설정 완료,요청하신 출동구조반3팀 작전 구역 보안 등급이 재설정되었습니다. 금일부터 적용됩니다.,2026-01-08T03:20:10.512Z,true,
haegeum,msg-033,agent-admin-finance,haegeum,4/4분기 예산 집행 내역 송부,안녕하십니까. 요청하신 4/4분기 팀 운영비 집행 내역 엑셀 파일을 송부드립니다. 확인 후 이상 있으시면 연락주세요.,2026-01-04T03:20:10.512Z,true,
janghyeowoon,msg-040,agent-admin-hr,janghyeowoon,사원증 발급 안내,신규 사원증 발급이 완료되었습니다. 경영지원팀 방문하여수령 바랍니다.,2025-01-15T09:30,true,
janghyeowoon,msg-041,agent-admin-security,janghyeowoon,보안 교육 이수 요청,신규 입사자 필수 보안 교육 미이수 상태입니다. 이번 주 내로 온라인 교육 이수 부탁드립니다.,2025-01-15T14:00,true,
janghyeowoon,msg-042,solum,janghyeowoon,점심 식사 제안,"허운씨, 시간 괜찮으시면 구내 식당에서 함께 점심 식사라도 하시죠.",2025-03-15T11:45,
koyoungeun,msg-020,agent-admin-hr,koyoungeun,사원증 발급 안내,신규 사원증 발급이 완료되었습니다. 경영지원팀 방문하여수령 바랍니다.,2025-01-15T09:30,true,
